Koord E,Koord N,lon,lat,Nr
2678534,1249396,8.478804773815375,47.39070948493243,9.99001E+13
2678534,1251496,8.479173559,47.409595613406296,9.99001E+13
2678561,1249232,8.479133546650583,47.38923134427607,9.99001E+13
2678640,1250202,8.480350278577017,47.39794552736801,9.99001E+13
2678733,1251201,8.481757979237996,47.406918808126946,9.99001E+13
2678820,1249234,8.482563845167766,47.38921839411546,9.99001E+13
2678833,1249088,8.482710278741603,47.38790379910519,9.99001E+13
2678978,1249165,8.484644062860312,47.388578925505605,9.99E+13
2679059,1249645,8.485801562709428,47.392886047038935,9.99001E+13
2679220,1246860,8.487440848068328,47.367819984718516,9.99001E+13
2679250,1249460,8.488298378911526,47.39119931674087,9.99E+13
2679274,1248554,8.488455696881852,47.383048393895606,9.99001E+13
2679308,1249239,8.489027324069529,47.38920479371498,9.99001E+13
2679338,1249409,8.489454762860365,47.39073006063908,9.99001E+13
2679378,1249644,8.490026198118025,47.39283869127054,9.99001E+13
2679395,1248915,8.490121970280452,47.38628044886864,9.99001E+13
2679489,1249330,8.491440477404163,47.39000137881634,9.99E+13
2679602,1247172,8.492553118,47.37057991517278,9.99001E+13
2679612,1249786,8.493150546,47.39408751416466,9.99001E+13
2679617,1249791,8.493217656944898,47.394131876799406,9.99001E+13
2679628,1249784,8.493362097331614,47.394067593450046,9.99E+13
2679727,1249256,8.494579171231889,47.38930710645935,9.99E+13
2679729,1248819,8.494527783604156,47.38537674584066,9.99001E+13
2679732,1248792,8.494562698532135,47.38513356065518,9.99001E+13
2679777,1246737,8.494792323,47.36664659950912,9.99001E+13
2679866,1247662,8.496135466979698,47.374954761133814,9.99001E+13
2680041,1247957,8.498505123676315,47.37758658969745,9.99001E+13
2680091,1248019,8.499178223457491,47.378138106503556,9.99001E+13
2680200,1249034,8.500803320350572,47.38725315926642,9.99001E+13
2680343,1252715,8.503358419860243,47.420340245564006,9.99001E+13
2680371,1248736,8.503014258418247,47.384552287719664,9.99E+13
2680375,1250234,8.503336375068612,47.398023885788135,9.99001E+13
2680426,1250125,8.503992277573378,47.39703738384483,9.99001E+13
2680458,1248361,8.504098871578595,47.38116914235947,9.99001E+13
2680471,1247476,8.504111888660983,47.37320837858286,9.99001E+13
2680492,1247290,8.504356463771195,47.37153303538667,9.99001E+13
2680511,1252607,8.505565083145925,47.41934845,9.99001E+13
2680521,1248900,8.505030044648015,47.38600888897442,9.99001E+13
2680541,1246271,8.504821857835122,47.362362726716846,9.99001E+13
2680578,1247970,8.505617390924394,47.37763805392564,9.99001E+13
2680578,1248279,8.505673024353024,47.38041701824782,9.99001E+13
2680606,1248600,8.506101586679906,47.38330047592383,9.99001E+13
2680616,1248579,8.506230218450446,47.383110391010575,9.99001E+13
2680662,1247328,8.506613869281141,47.371853999212625,9.99001E+13
2680716,1247982,8.507446688242995,47.377729084512985,9.99001E+13
2680751,1248805,8.508058599929605,47.38512636575844,9.99001E+13
2680786,1252811,8.509245843125843,47.421149393306386,9.99001E+13
2680790,1249442,8.508690064668064,47.39085037,9.99001E+13
2680834,1248117,8.509033404281134,47.37892872923008,9.99001E+13
2680846,1248442,8.509251001147067,47.38185011281716,9.99001E+13
2680865,1249586,8.509709348758392,47.392136212171394,9.99E+13
2680865,1245747,8.509015806425165,47.35761048242385,9.99001E+13
2680894,1248073,8.509819876,47.378525655760114,9.99E+13
2680899,1248046,8.509881197140546,47.37828221989344,9.99E+13
2680913,1249383,8.510308328319239,47.39030466373686,9.99001E+13
2680925,1248191,8.510251662349747,47.37958307088399,9.99E+13
2680970,1245228,8.510311679629494,47.35292998212404,9.99001E+13
2680979,1253561,8.511939206979644,47.42787063865836,9.99001E+13
2681031,1247847,8.511592882,47.37647631189938,9.99001E+13
2681058,1247527,8.511892407450567,47.37359509882324,9.99001E+13
2681059,1248655,8.512109946126376,47.38373953441287,9.99001E+13
2681081,1249306,8.512519235862328,47.38959151780808,9.99001E+13
2681087,1251772,8.513045853038728,47.41176835669727,9.99001E+13
2681090,1247949,8.512392509,47.37738638129075,9.99001E+13
2681093,1248279,8.512492023432882,47.38035383466209,9.99001E+13
2681106,1246986,8.512429869991934,47.36872375085655,9.99001E+13
